Team_to,Season,country_name,fees
Toulouse FC,2005-2006,France,8400000
AJ Auxerre,2005-2006,France,5000000
RC Lens,2005-2006,France,6000000
AS Saint-Étienne,2005-2006,France,6000000
FC Nantes,2005-2006,France,2700000
OGC Nice,2005-2006,France,2500000
FC Sochaux-Montbéliard,2005-2006,France,2000000
Girondins de Bordeaux,2006-2007,France,9000000
Olympique Lyonnais,2006-2007,France,21950000
AS Saint-Étienne,2006-2007,France,6000000
AS Monaco,2006-2007,France,12000000
Stade Rennais FC,2006-2007,France,10000000
AJ Auxerre,2006-2007,France,12300000
Paris Saint-Germain,2006-2007,France,9000000
Toulouse FC,2006-2007,France,5000000
RC Lens,2006-2007,France,7100000
OGC Nice,2006-2007,France,11500000
Olympique de Marseille,2006-2007,France,6000000
LOSC Lille,2006-2007,France,3000000
FC Nantes,2006-2007,France,2500000
Olympique de Marseille,2007-2008,France,27000000
Olympique Lyonnais,2007-2008,France,26100000
Girondins de Bordeaux,2007-2008,France,13400000
AS Monaco,2007-2008,France,12000000
Paris Saint-Germain,2007-2008,France,10000000
RC Lens,2007-2008,France,5000000
AS Saint-Étienne,2007-2008,France,9000000
Toulouse FC,2007-2008,France,4500000
Olympique Lyonnais,2008-2009,France,43800000
Olympique de Marseille,2008-2009,France,32000000
Stade Rennais FC,2008-2009,France,8000000
OGC Nice,2008-2009,France,8000000
Paris Saint-Germain,2008-2009,France,8000000
LOSC Lille,2008-2009,France,15000000
Girondins de Bordeaux,2008-2009,France,6500000
SM Caen,2008-2009,France,5000000
AS Saint-Étienne,2008-2009,France,4000000
FC Nantes,2008-2009,France,3900000
Olympique Lyonnais,2009-2010,France,79200000
Olympique de Marseille,2009-2010,France,37500000
Stade Rennais FC,2009-2010,France,14500000
Paris Saint-Germain,2009-2010,France,12200000
Girondins de Bordeaux,2009-2010,France,25500000
LOSC Lille,2009-2010,France,6500000
AS Monaco,2009-2010,France,4000000
Toulouse FC,2009-2010,France,3500000
Olympique Lyonnais,2010-2011,France,28000000
Olympique de Marseille,2010-2011,France,41500000
AS Monaco,2010-2011,France,7000000
Paris Saint-Germain,2010-2011,France,5000000
Stade Rennais FC,2010-2011,France,9000000
Girondins de Bordeaux,2010-2011,France,8000000
Paris Saint-Germain,2011-2012,France,92900000
LOSC Lille,2011-2012,France,17000000
Stade Rennais FC,2011-2012,France,14100000
Toulouse FC,2011-2012,France,9800000
AS Monaco,2011-2012,France,10500000
Olympique de Marseille,2011-2012,France,8500000
Paris Saint-Germain,2012-2013,France,149950000
AS Monaco,2012-2013,France,21000000
LOSC Lille,2012-2013,France,10000000
FC Lorient,2012-2013,France,9000000
Montpellier Hérault SC,2012-2013,France,8500000
AS Saint-Étienne,2012-2013,France,4000000
Paris Saint-Germain,2013-2014,France,135900000
AS Monaco,2013-2014,France,157000000
Olympique de Marseille,2013-2014,France,24700000
AS Saint-Étienne,2013-2014,France,14500000
Stade Rennais FC,2013-2014,France,5000000
Paris Saint-Germain,2014-2015,France,49500000
AS Monaco,2014-2015,France,36750000
Olympique de Marseille,2014-2015,France,20500000
Paris Saint-Germain,2015-2016,France,116100000
AS Monaco,2015-2016,France,76060000
Olympique Lyonnais,2015-2016,France,34500000
Olympique de Marseille,2015-2016,France,7500000
AS Saint-Étienne,2015-2016,France,7500000
Paris Saint-Germain,2016-2017,France,132500000
Olympique de Marseille,2016-2017,France,46300000
Olympique Lyonnais,2016-2017,France,16000000
AS Monaco,2016-2017,France,39000000
LOSC Lille,2016-2017,France,7000000
Paris Saint-Germain,2017-2018,France,238000000
AS Monaco,2017-2018,France,120000000
Stade Rennais FC,2017-2018,France,35000000
Olympique de Marseille,2017-2018,France,44000000
LOSC Lille,2017-2018,France,52500000
Olympique Lyonnais,2017-2018,France,28000000
AS Saint-Étienne,2017-2018,France,10000000
OGC Nice,2017-2018,France,10000000
Girondins de Bordeaux,2017-2018,France,15500000
Paris Saint-Germain,2018-2019,France,135000000
AS Monaco,2018-2019,France,60000000
Olympique de Marseille,2018-2019,France,29000000
OGC Nice,2018-2019,France,15000000
AS Saint-Étienne,2018-2019,France,7000000
RC Deportivo de La Coruña,2018-2019,France,6000000
Borussia Dortmund,2000-2001,Germany,14500000
Bayer 04 Leverkusen,2000-2001,Germany,15750000
SV Werder Bremen,2000-2001,Germany,1900000
FC Bayern Munich,2001-2002,Germany,15700000
VfB Stuttgart,2001-2002,Germany,7500000
Borussia Dortmund,2001-2002,Germany,10300000
Hertha BSC Berlin,2001-2002,Germany,6250000
VfL Wolfsburg,2001-2002,Germany,9000000
Bayer 04 Leverkusen,2001-2002,Germany,3250000
FC Bayern Munich,2002-2003,Germany,15500000
Borussia Dortmund,2002-2003,Germany,8500000
FC Schalke 04,2002-2003,Germany,13250000
Bayer 04 Leverkusen,2002-2003,Germany,13500000
Hannover 96,2002-2003,Germany,3100000
SV Werder Bremen,2002-2003,Germany,5500000
Hertha BSC Berlin,2002-2003,Germany,1800000
FC Bayern Munich,2003-2004,Germany,27000000
VfB Stuttgart,2003-2004,Germany,5500000
VfL Wolfsburg,2003-2004,Germany,2850000
FC Schalke 04,2003-2004,Germany,1800000
FC Bayern Munich,2004-2005,Germany,23250000
SV Werder Bremen,2004-2005,Germany,5000000
Hamburger SV,2004-2005,Germany,5300000
Bayer 04 Leverkusen,2004-2005,Germany,3500000
VfL Wolfsburg,2004-2005,Germany,5000000
VfB Stuttgart,2004-2005,Germany,1500000
Hertha BSC Berlin,2004-2005,Germany,1500000
FC Bayern Munich,2005-2006,Germany,8500000
VfB Stuttgart,2005-2006,Germany,7500000
FC Schalke 04,2005-2006,Germany,11900000
Hamburger SV,2005-2006,Germany,7600000
SV Werder Bremen,2005-2006,Germany,12400000
VfL Wolfsburg,2005-2006,Germany,4000000
Hamburger SV,2006-2007,Germany,20300000
FC Bayern Munich,2006-2007,Germany,24000000
Bayer 04 Leverkusen,2006-2007,Germany,9280000
SV Werder Bremen,2006-2007,Germany,13700000
VfL Wolfsburg,2006-2007,Germany,3600000
VfB Stuttgart,2006-2007,Germany,6500000
Borussia Dortmund,2006-2007,Germany,2900000
1. FSV Mainz 05,2006-2007,Germany,2800000
Hertha BSC Berlin,2006-2007,Germany,2600000
FC Bayern Munich,2007-2008,Germany,91000000
VfL Wolfsburg,2007-2008,Germany,15500000
VfB Stuttgart,2007-2008,Germany,7000000
TSG 1899 Hoffenheim,2007-2008,Germany,12000000
Hamburger SV,2007-2008,Germany,6500000
Bayer 04 Leverkusen,2007-2008,Germany,9900000
FC Schalke 04,2007-2008,Germany,5000000
SV Werder Bremen,2007-2008,Germany,9500000
Hannover 96,2007-2008,Germany,4500000
Hertha BSC Berlin,2007-2008,Germany,4300000
VfL Wolfsburg,2008-2009,Germany,25000000
FC Schalke 04,2008-2009,Germany,15500000
Hamburger SV,2008-2009,Germany,30500000
Bayer 04 Leverkusen,2008-2009,Germany,5200000
VfB Stuttgart,2008-2009,Germany,5000000
Borussia Dortmund,2008-2009,Germany,4500000
TSG 1899 Hoffenheim,2008-2009,Germany,4500000
FC Bayern Munich,2009-2010,Germany,62700000
VfL Wolfsburg,2009-2010,Germany,21200000
1. FC Köln,2009-2010,Germany,10000000
Hamburger SV,2009-2010,Germany,29000000
SV Werder Bremen,2009-2010,Germany,8200000
VfB Stuttgart,2009-2010,Germany,12800000
TSG 1899 Hoffenheim,2009-2010,Germany,16100000
Borussia Dortmund,2009-2010,Germany,8400000
Bayer 04 Leverkusen,2009-2010,Germany,3800000
FC Bayern Munich,2010-2011,Germany,17000000
VfL Wolfsburg,2010-2011,Germany,44000000
