Team_to,Season,fees
VfL Wolfsburg,2006-2007,3600000
SL Benfica,2006-2007,3500000
Olympique de Marseille,2006-2007,6000000
Lazio,2006-2007,9650000
VfB Stuttgart,2006-2007,6500000
Real Sociedad,2006-2007,3500000
AZ Alkmaar,2006-2007,6500000
Manchester City,2006-2007,6000000
Ternana,2006-2007,3000000
RSC Anderlecht,2006-2007,3000000
Chievo Verona,2006-2007,3000000
Loko Moscow,2006-2007,3000000
FK Moskau,2006-2007,3000000
LOSC Lille,2006-2007,3000000
Queens Park Rangers,2006-2007,3000000
Sunderland,2006-2007,3000000
Udinese Calcio,2006-2007,5700000
Shakhtar D.,2006-2007,3000000
Borussia Dortmund,2006-2007,2900000
1. FSV Mainz 05,2006-2007,2800000
Hertha BSC Berlin,2006-2007,2600000
Feyenoord,2006-2007,2500000
FC Nantes,2006-2007,2500000
Liverpool,2007-2008,82550000
Real Madrid CF,2007-2008,118000000
Manchester United,2007-2008,86300000
FC Bayern Munich,2007-2008,91000000
Tottenham Hotspur,2007-2008,87150000
FC Barcelona,2007-2008,68000000
AC Milan,2007-2008,29000000
Atlético Madrid,2007-2008,78000000
AS Roma,2007-2008,48800000
Chelsea,2007-2008,59000000
Valencia CF,2007-2008,56000000
Inter,2007-2008,36500000
Al Sadd,2007-2008,15000000
Shakhtar D.,2007-2008,46910000
Arsenal,2007-2008,26850000
Juventus,2007-2008,36500000
Manchester City,2007-2008,65500000
Aston Villa,2007-2008,18000000
West Ham United,2007-2008,42100000
Sevilla FC,2007-2008,29000000
SL Benfica,2007-2008,19670000
Sunderland,2007-2008,40720000
Villarreal CF,2007-2008,35800000
Loko Moscow,2007-2008,10000000
Portsmouth,2007-2008,45800000
Middlesbrough,2007-2008,25900000
Olympique de Marseille,2007-2008,27000000
Newcastle United,2007-2008,30600000
Fulham,2007-2008,28200000
Olympique Lyonnais,2007-2008,26100000
US Palermo,2007-2008,17300000
Everton,2007-2008,17700000
VfL Wolfsburg,2007-2008,15500000
Birmingham City,2007-2008,17500000
AFC Ajax,2007-2008,7500000
Olympiacos,2007-2008,7400000
Girondins de Bordeaux,2007-2008,13400000
Udinese Calcio,2007-2008,15800000
VfB Stuttgart,2007-2008,7000000
Brescia,2007-2008,7000000
RC Deportivo de La Coruña,2007-2008,7000000
TSG 1899 Hoffenheim,2007-2008,12000000
PSV Eindhoven,2007-2008,12900000
Wigan Athletic,2007-2008,10900000
Real Betis,2007-2008,16800000
Celtic,2007-2008,11100000
Hamburger SV,2007-2008,6500000
SSC Napoli,2007-2008,31900000
Fiorentina,2007-2008,14500000
AS Monaco,2007-2008,12000000
Getafe CF,2007-2008,10000000
AS Livorno,2007-2008,6000000
Sheffield Utd.,2007-2008,6000000
Paris Saint-Germain,2007-2008,10000000
Dynamo Kyiv,2007-2008,10500000
Bolton Wanderers,2007-2008,10700000
AZ Alkmaar,2007-2008,15000000
Athletic Club de Bilbao,2007-2008,5800000
Parma,2007-2008,10200000
Bayer 04 Leverkusen,2007-2008,9900000
Feyenoord,2007-2008,5000000
Galatasaray,2007-2008,5000000
RC Lens,2007-2008,5000000
FC Schalke 04,2007-2008,5000000
Blackburn Rovers,2007-2008,5000000
SV Werder Bremen,2007-2008,9500000
AS Saint-Étienne,2007-2008,9000000
FK Moskau,2007-2008,5000000
Real Zaragoza,2007-2008,4500000
Sampdoria,2007-2008,4500000
Hannover 96,2007-2008,4500000
Toulouse FC,2007-2008,4500000
Derby,2007-2008,4500000
Hertha BSC Berlin,2007-2008,4300000
CSKA Moscow,2007-2008,4200000
QPR,2007-2008,4000000
Recr. Huelva,2007-2008,4000000
FC Groningen,2007-2008,4000000
Spartak Moscow,2007-2008,4000000
FC Porto,2007-2008,4000000
Zenit S-Pb,2007-2008,4000000
Siena,2007-2008,3950000
Manchester City,2008-2009,157350000
Manchester United,2008-2009,45000000
FC Barcelona,2008-2009,96000000
Real Madrid CF,2008-2009,76000000
AC Milan,2008-2009,59250000
Inter,2008-2009,47700000
Liverpool,2008-2009,65300000
Juventus,2008-2009,32550000
Tottenham Hotspur,2008-2009,137250000
Everton,2008-2009,21760000
Arsenal,2008-2009,38900000
AFC Ajax,2008-2009,27250000
Aston Villa,2008-2009,45700000
Olympique Lyonnais,2008-2009,43800000
Fiorentina,2008-2009,34800000
VfL Wolfsburg,2008-2009,25000000
Portsmouth,2008-2009,24450000
Genoa,2008-2009,42800000
Newcastle United,2008-2009,33280000
Bolton Wanderers,2008-2009,19000000
Olympique de Marseille,2008-2009,32000000
AS Roma,2008-2009,27000000
Atalanta,2008-2009,10500000
Chelsea,2008-2009,10000000
FC Schalke 04,2008-2009,15500000
Real Zaragoza,2008-2009,10000000
Atlético Madrid,2008-2009,20000000
Real Betis,2008-2009,32000000
Sunderland,2008-2009,20500000
Sampdoria,2008-2009,15700000
Hamburger SV,2008-2009,30500000
Shakhtar D.,2008-2009,9000000
Sevilla FC,2008-2009,35200000
West Ham United,2008-2009,14800000
SSC Napoli,2008-2009,26300000
Stade Rennais FC,2008-2009,8000000
OGC Nice,2008-2009,8000000
Paris Saint-Germain,2008-2009,8000000
Villarreal CF,2008-2009,20000000
US Palermo,2008-2009,37350000
SL Benfica,2008-2009,18500000
Lazio,2008-2009,7500000
Torino,2008-2009,7000000
UD Almería,2008-2009,10800000
LOSC Lille,2008-2009,15000000
Stoke City,2008-2009,14800000
FC Porto,2008-2009,23500000
Cagliari Calcio,2008-2009,16500000
Girondins de Bordeaux,2008-2009,6500000
Wigan Athletic,2008-2009,20000000
Zenit S-Pb,2008-2009,12000000
Bologna,2008-2009,14300000
Getafe CF,2008-2009,10500000
RCD Mallorca,2008-2009,6000000
West Bromwich Albion,2008-2009,13900000
Loko Moscow,2008-2009,15200000
Hull City,2008-2009,5300000
Estudiantes,2008-2009,5300000
Bayer 04 Leverkusen,2008-2009,5200000
Dynamo Kyiv,2008-2009,5000000
Spartak Moscow,2008-2009,9700000
Al Sadd,2008-2009,5000000
VfB Stuttgart,2008-2009,5000000
SM Caen,2008-2009,5000000
Middlesbrough,2008-2009,12800000
RCD Espanyol,2008-2009,5000000
Feyenoord,2008-2009,5000000
Valencia CF,2008-2009,5000000
CSKA Moscow,2008-2009,9300000
Internacional,2008-2009,4700000
Galatasaray,2008-2009,4500000
Fenerbahce,2008-2009,4500000
Besiktas,2008-2009,4500000
Udinese Calcio,2008-2009,4500000
Sporting CP,2008-2009,4500000
Borussia Dortmund,2008-2009,4500000
Queens Park Rangers,2008-2009,12300000
TSG 1899 Hoffenheim,2008-2009,4500000
Blackburn Rovers,2008-2009,4400000
Fulham,2008-2009,4100000
Rubin Kazan,2008-2009,4000000
AS Saint-Étienne,2008-2009,4000000
PSV Eindhoven,2008-2009,4000000
FC Nantes,2008-2009,3900000
Real Madrid CF,2009-2010,256500000
FC Barcelona,2009-2010,88500000
FC Bayern Munich,2009-2010,62700000
Manchester City,2009-2010,147300000
Juventus,2009-2010,55300000
Inter,2009-2010,94200000
Olympique Lyonnais,2009-2010,79200000
Chelsea,2009-2010,28250000
Liverpool,2009-2010,40500000
Lazio,2009-2010,20200000
Olympique de Marseille,2009-2010,37500000
Manchester United,2009-2010,27400000
SSC Napoli,2009-2010,44750000
Villarreal CF,2009-2010,22500000
AC Milan,2009-2010,15000000
Sevilla FC,2009-2010,24000000
Al-Jazira,2009-2010,15000000
Genoa,2009-2010,61300000
Sunderland,2009-2010,42300000
Girondins de Bordeaux,2009-2010,25500000
Aston Villa,2009-2010,44000000
Arsenal,2009-2010,12000000
Stade Rennais FC,2009-2010,14500000
VfL Wolfsburg,2009-2010,21200000
Tottenham Hotspur,2009-2010,37500000
Bari,2009-2010,10500000
1. FC Köln,2009-2010,10000000
Hamburger SV,2009-2010,29000000
Everton,2009-2010,23300000
Parma,2009-2010,13600000
Paris Saint-Germain,2009-2010,12200000
SV Werder Bremen,2009-2010,8200000
Panathinaikos,2009-2010,15500000
VfB Stuttgart,2009-2010,12800000
AFC Ajax,2009-2010,12000000
