Team_to,Position,country_name,fees
West Ham United,Central Midfield,Switzerland,22100000
FC Porto,Right Winger,Portugal,22000000
Leicester City,Right-Back,England,22000000
Tottenham Hotspur,Right Midfield,England,22000000
Wolverhampton Wanderers,Centre-Back,England,22000000
Lazio,Right-Back,Italy,21950000
Fulham,Goalkeeper,England,21900000
Watford,Attacking Midfield,England,21600000
Cagliari Calcio,Centre-Back,Italy,21400000
Genoa,Central Midfield,Italy,21400000
West Ham United,Second Striker,England,21400000
Athletic Club de Bilbao,Central Midfield,Spain,21300000
Valencia CF,Left Winger,Spain,20800000
Leicester City,Centre-Back,England,20700000
LOSC Lille,Right Winger,France,20500000
Burnley,Central Midfield,England,20400000
Lazio,Attacking Midfield,Italy,20150000
Sassuolo,Right Winger,Italy,20000000
SV Werder Bremen,Left Winger,Germany,19900000
Atalanta,Defensive Midfield,Italy,19700000
Bari,,Italy,19500000
US Palermo,Goalkeeper,Italy,19500000
Watford,Right Winger,England,19500000
Toulouse FC,Centre-Forward,France,19300000
FC Schalke 04,Attacking Midfield,Germany,19000000
LOSC Lille,Attacking Midfield,France,19000000
TSG 1899 Hoffenheim,Centre-Back,Germany,19000000
Villarreal CF,Central Midfield,Spain,19000000
Borussia Dortmund,Defensive Midfield,Germany,18700000
Paris Saint-Germain,Right-Back,France,18700000
Hannover 96,Centre-Forward,Germany,18500000
Sampdoria,Second Striker,Italy,18500000
FC Nantes,,France,18400000
Swansea City,Central Midfield,England,18400000
Sunderland,Left Winger,England,18200000
Bournemouth,Right Winger,England,18000000
Lazio,Left Winger,Spain,18000000
Manchester United,Left Midfield,England,18000000
Olympique Lyonnais,Left Midfield,France,18000000
Watford,Defensive Midfield,England,17900000
Wolverhampton Wanderers,Defensive Midfield,England,17900000
Wolverhampton Wanderers,Left Winger,England,17800000
SV Werder Bremen,Centre-Back,Germany,17600000
West Ham United,Left-Back,England,17600000
Inter,Right-Back,Italy,17100000
SL Benfica,Goalkeeper,Portugal,17100000
Bayer 04 Leverkusen,Right-Back,Germany,17000000
Hamburger SV,Left-Back,Germany,17000000
RCD Espanyol,Centre-Forward,Spain,17000000
Valencia CF,Goalkeeper,Spain,17000000
Hull City,Right Winger,England,16500000
Newcastle United,Left Winger,England,16500000
Udinese Calcio,Right Winger,Italy,16500000
West Bromwich Albion,Goalkeeper,England,16350000
Southampton,Left-Back,England,16340000
Chievo Verona,,Italy,16330000
Olympique Lyonnais,Right Winger,France,16300000
Reading,,England,16300000
Sunderland,Central Midfield,England,16300000
Swansea City,Left Midfield,England,16300000
AFC Ajax,Left Midfield,Netherlands,16250000
AS Saint-Étienne,Attacking Midfield,France,16000000
LOSC Lille,Centre-Forward,France,16000000
LOSC Lille,Defensive Midfield,France,16000000
Real Madrid CF,Second Striker,Spain,16000000
Torino,Defensive Midfield,Italy,16000000
West Ham United,Goalkeeper,England,15800000
Newcastle United,Defensive Midfield,England,15780000
Lazio,Right Winger,Italy,15700000
Crystal Palace,Right Winger,England,15600000
Siena,,Italy,15600000
SV Werder Bremen,Centre-Forward,Germany,15500000
PSV Eindhoven,Right Winger,Netherlands,15400000
Birmingham City,Centre-Back,England,15300000
Udinese Calcio,Centre-Forward,Italy,15300000
Newcastle United,Right-Back,England,15200000
West Bromwich Albion,Left Winger,England,15200000
Burnley,Left Midfield,England,15100000
Crystal Palace,Defensive Midfield,Switzerland,15100000
Atalanta,Centre-Forward,Italy,15050000
FC Porto,Right-Back,Portugal,15000000
PSV Eindhoven,Attacking Midfield,Netherlands,15000000
Real Sociedad,Defensive Midfield,Spain,15000000
SC Freiburg,,Germany,15000000
SV Werder Bremen,Second Striker,Germany,15000000
Torino,Central Midfield,Italy,14900000
Norwich City,Centre-Back,England,14850000
Queens Park Rangers,Central Midfield,Scotland,14700000
US Palermo,Second Striker,Italy,14600000
1. FSV Mainz 05,Centre-Forward,Germany,14500000
Cagliari Calcio,Centre-Forward,Italy,14500000
Newcastle United,Left-Back,Spain,14350000
Fulham,Left Midfield,England,14300000
Bayer 04 Leverkusen,Attacking Midfield,Germany,14250000
Portsmouth,Defensive Midfield,England,14230000
Wigan Athletic,Centre-Back,England,14170000
AFC Ajax,Centre-Back,Netherlands,14100000
AFC Ajax,Central Midfield,Netherlands,14000000
Chievo Verona,Centre-Forward,Italy,14000000
FC Bayern Munich,Right-Back,Germany,14000000
FC Schalke 04,Right Winger,Germany,14000000
Leicester City,Goalkeeper,England,14000000
LOSC Lille,Central Midfield,France,14000000
Olympique de Marseille,Left-Back,France,14000000
Real Betis,Attacking Midfield,Spain,14000000
Real Madrid CF,Left Midfield,Spain,14000000
SC Braga,,Portugal,14000000
Villarreal CF,Right Winger,Spain,14000000
Feyenoord,Centre-Forward,Netherlands,13900000
Arsenal,Right Midfield,England,13800000
Blackburn Rovers,Centre-Back,England,13800000
Torino,Centre-Back,Italy,13800000
Sunderland,Left-Back,England,13700000
Fulham,Defensive Midfield,England,13500000
Fulham,Right Winger,England,13500000
Granada CF,,Spain,13500000
LOSC Lille,Left Winger,France,13500000
Tottenham Hotspur,Second Striker,Spain,13500000
Valencia CF,Left-Back,Spain,13500000
Paris Saint-Germain,Goalkeeper,France,13400000
Stoke City,Defensive Midfield,England,13400000
Sporting CP,Attacking Midfield,Portugal,13330000
SSC Napoli,Second Striker,Italy,13100000
FC Twente,Centre-Forward,Netherlands,13000000
RC Celta de Vigo,Left Winger,Spain,13000000
VfB Stuttgart,Central Midfield,Germany,13000000
VfB Stuttgart,Left-Back,Germany,12900000
FC Basel,,Switzerland,12850000
Birmingham City,Central Midfield,England,12800000
Hull City,Defensive Midfield,England,12800000
PSV Eindhoven,Right-Back,Netherlands,12800000
Lazio,Goalkeeper,Italy,12700000
West Ham United,Left Midfield,England,12600000
Bologna,Goalkeeper,Italy,12500000
FC Schalke 04,Left Winger,Germany,12500000
Lazio,Left Midfield,Italy,12500000
OGC Nice,Right Winger,France,12500000
Olympique de Marseille,Left Winger,France,12500000
RC Cesena,,Italy,12500000
Sevilla FC,Right-Back,Spain,12500000
VfB Stuttgart,Centre-Back,Germany,12500000
VfB Stuttgart,Right-Back,Germany,12500000
Girondins de Bordeaux,Defensive Midfield,France,12400000
Queens Park Rangers,Centre-Forward,Scotland,12400000
TSG 1899 Hoffenheim,Attacking Midfield,Germany,12200000
AFC Ajax,Right Winger,Netherlands,12000000
Borussia Dortmund,Left-Back,Germany,12000000
Bournemouth,Left-Back,Spain,12000000
Eintracht Frankfurt,,Germany,12000000
Fiorentina,Goalkeeper,Italy,12000000
Girondins de Bordeaux,Right Winger,France,12000000
OGC Nice,Centre-Forward,France,12000000
Sampdoria,Right Winger,Italy,12000000
Villarreal CF,Goalkeeper,Spain,12000000
Villarreal CF,Right-Back,Spain,12000000
West Ham United,Right Midfield,England,12000000
Middlesbrough,Defensive Midfield,England,11900000
Newcastle United,Goalkeeper,England,11600000
Bournemouth,Goalkeeper,England,11500000
Girondins de Bordeaux,Left Winger,France,11500000
RC Deportivo de La Coruña,Centre-Back,Spain,11500000
Real Sociedad,Central Midfield,Spain,11500000
US Palermo,Attacking Midfield,Italy,11500000
West Bromwich Albion,Defensive Midfield,England,11500000
Wolverhampton Wanderers,Central Midfield,England,11350000
Bournemouth,Attacking Midfield,England,11300000
Cagliari Calcio,Central Midfield,Italy,11300000
Stoke City,Left Winger,England,11300000
Wigan Athletic,Attacking Midfield,England,11300000
Queens Park Rangers,Defensive Midfield,Scotland,11250000
Olympique de Marseille,Right-Back,France,11100000
Parma,Centre-Back,Italy,11100000
AZ Alkmaar,Centre-Forward,Netherlands,11000000
Catania,,Italy,11000000
Celtic,Centre-Back,Scotland,11000000
FC Porto,Second Striker,Portugal,11000000
Málaga CF,Defensive Midfield,Spain,11000000
Norwich City,Right Winger,England,11000000
RC Deportivo de La Coruña,Attacking Midfield,Spain,11000000
RCD Espanyol,Central Midfield,Spain,11000000
Real Zaragoza,Attacking Midfield,Spain,11000000
